date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:33	14673/14673	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:46%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNotifyMainThermostatChanged	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata89ca.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:34	14694/14694	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:45%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNotifyNetworkStatus	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataa42c.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:34	14659/14659	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:48%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNotifySensorConfigured	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata5c74.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:35	14657/14657	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:47%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNotifySystemBackupCreated	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata7d33.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:36	15033/15033	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:47%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayPauseSchedule	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata7961.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:36	14718/14718	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:48%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayPing	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata0adb.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:37	15049/15049	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:48%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayReadRegister	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatac3ee.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:38	15129/15129	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:50%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayReadRegisters	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata0cb5.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:38	15081/15081	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:50%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayRegister	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata59ae.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:39	16003/16003	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:51%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayRemoveSchedule	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata549b.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:39	14951/14951	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:51%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayRemoveSensorForce	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatac5b4.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:40	14741/14741	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:51%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayRestart	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata1006.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:41	14849/14849	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:53%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayRestoreBackup	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata14fc.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:41	14872/14872	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:53%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayRestoreSystemBackup	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata73d6.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:42	16360/16360	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:55%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewaySchedulerPoll	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatab81f.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:42	15369/15369	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:54%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewaySensorPoll	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata51d7.html	(from http://greencom.azurewebsites.net/api/metadata)
